generator,setting,n_obs,mean_correct
google/gemini-3.1-pro-preview,human_from_scratch,33096,0.6078075900410925
google/gemini-3.1-pro-preview,model_from_scratch,33096,0.5783176214648296
google/gemini-3.1-pro-preview,augment_human,33096,0.4702985255015712
google/gemini-3.1-pro-preview,augment_model,33096,0.4627447425670776
google/gemini-3.1-pro-preview,augment_ablation,33096,0.4767645636934977
openai/gpt-5.2-2025-12-11,human_from_scratch,33096,0.6102852308436065
openai/gpt-5.2-2025-12-11,model_from_scratch,33096,0.5525743292240755
openai/gpt-5.2-2025-12-11,augment_human,33096,0.3930384336475707
openai/gpt-5.2-2025-12-11,augment_model,33096,0.3905910079767948
openai/gpt-5.2-2025-12-11,augment_ablation,33096,0.4544960116026106
together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,33096,0.6103456611070824
together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,33096,0.5962049794537104
together/Qwen/Qwen3.5-397B-A17B,augment_human,33096,0.46032753202803967
together/Qwen/Qwen3.5-397B-A17B,augment_model,33096,0.47528402223833693
together/Qwen/Qwen3.5-397B-A17B,augment_ablation,33096,0.4909052453468697
